Mach,CD Power-Off
7.76,0.600406411
7.77,0.600253177
7.78,0.600100255
7.79,0.599947846
7.8,0.599795958
7.81,0.59964437
7.82,0.599493291
7.83,0.599342721
7.84,0.599192458
7.85,0.599042802
7.86,0.598893443
7.87,0.598744588
7.88,0.598596137
7.89,0.59844808
7.9,0.598300615
7.91,0.598153442
7.92,0.598006669
7.93,0.597860387
7.94,0.597714593
7.95,0.597569088
7.96,0.59742407
7.97,0.597279438
7.98,0.597135293
7.99,0.596991522
8,0.596848134
8.01,0.596705231
8.02,0.5965627
8.03,0.596420551
8.04,0.596278772
8.05,0.596137464
8.06,0.595996634
8.07,0.595856073
8.08,0.59571598
8.09,0.595576254
8.1,0.595436993
8.11,0.595298007
8.12,0.595159467
8.13,0.5950214
8.14,0.594883696
8.15,0.594746344
8.16,0.594609363
8.17,0.594472824
8.18,0.594336643
8.19,0.594200822
8.2,0.59406545
8.21,0.593930425
8.22,0.593795757
8.23,0.593661435
8.24,0.593527558
8.25,0.593394026
8.26,0.593260938
8.27,0.593128093
8.28,0.592995691
8.29,0.592863729
8.3,0.59273201
8.31,0.59260073
8.32,0.59246978
8.33,0.592339269
8.34,0.592208986
8.35,0.59207915
8.36,0.591949632
8.37,0.591820548
8.38,0.591691791
8.39,0.591563368
8.4,0.591435369
8.41,0.591307593
8.42,0.59118025
8.43,0.591053218
8.44,0.590926618
8.45,0.590800327
8.46,0.590674258
8.47,0.590548717
8.48,0.590423384
8.49,0.59029847
8.5,0.590173873
8.51,0.590049582
8.52,0.589925806
8.53,0.589802146
8.54,0.58967889
8.55,0.589556049
8.56,0.58943351
8.57,0.589311284
8.58,0.58918935
8.59,0.589067738
8.6,0.588946515
8.61,0.588825603
8.62,0.588704981
8.63,0.588584776
8.64,0.58846475
8.65,0.588345131
8.66,0.58822581
8.67,0.588106884
8.68,0.587988254
8.69,0.58786991
8.7,0.58775187
8.71,0.587634112
8.72,0.587516749
8.73,0.587399668
8.74,0.587282879
8.75,0.587166481
8.76,0.587050265
8.77,0.586934428
8.78,0.586818881
8.79,0.586703722
8.8,0.586588732
8.81,0.58647413
8.82,0.586359806
8.83,0.586245768
8.84,0.586132096
8.85,0.586018609
8.86,0.585905598
8.87,0.58579275
8.88,0.585680187
8.89,0.585567996
8.9,0.585456078
8.91,0.585344423
8.92,0.585233049
8.93,0.585122035
8.94,0.585011293
8.95,0.58490081
8.96,0.584790596
8.97,0.584680651
8.98,0.584571074
8.99,0.584461755
9,0.584352693
9.01,0.584243898
9.02,0.584135468
9.03,0.584027295
9.04,0.583919276
9.05,0.583811711
9.06,0.58370431
9.07,0.583597264
9.08,0.583490369
9.09,0.583383837
9.1,0.583277647
9.11,0.583171618
9.12,0.58306594
9.13,0.582960501
9.14,0.582855323
9.15,0.582750395
9.16,0.582645704
9.17,0.582541362
9.18,0.582437278
9.19,0.582333431
9.2,0.58222982
9.21,0.582126566
9.22,0.582023448
9.23,0.581920674
9.24,0.581818145
9.25,0.581715951
9.26,0.58161389
9.27,0.581512173
9.28,0.581410598
9.29,0.581309456
9.3,0.581208455
9.31,0.581107686
9.32,0.581007247
9.33,0.58090705
9.34,0.580807071
9.35,0.580707333
9.36,0.580607833
9.37,0.580508652
9.38,0.580409608
9.39,0.580310892
9.4,0.580212504
9.41,0.580114242
9.42,0.580016206
9.43,0.579918496
9.44,0.579821011
9.45,0.579723751
9.46,0.579626715
9.47,0.579529893
9.48,0.579433405
9.49,0.579337129
9.5,0.579240976
9.51,0.579145145
9.52,0.579049636
9.53,0.578954238
9.54,0.578859161
9.55,0.578764294
9.56,0.578669658
9.57,0.57857522
9.58,0.578481001
9.59,0.578387102
9.6,0.57829342
9.61,0.578199837
9.62,0.57810657
9.63,0.578013621
9.64,0.577920778
9.65,0.577828141
9.66,0.57773582
9.67,0.577643694
9.68,0.577551792
9.69,0.577460086
9.7,0.577368583
9.71,0.577277394
9.72,0.577186408
9.73,0.577095525
9.74,0.577004944
9.75,0.576914665
9.76,0.576824487
9.77,0.576734511
9.78,0.576644845
9.79,0.57655537
9.8,0.576466095
9.81,0.57637702
9.82,0.576288134
9.83,0.576199556
9.84,0.576111176
9.85,0.576022885
9.86,0.575934892
9.87,0.575847095
9.88,0.575759586
9.89,0.575672173
9.9,0.575585056
9.91,0.575498034
9.92,0.575411298
9.93,0.575324757
9.94,0.575238401
9.95,0.575152338
9.96,0.57506636
9.97,0.574980575
9.98,0.574895083
9.99,0.574809764
10,0.574724647
10.01,0.574691987
10.02,0.574656512
10.03,0.574621022
10.04,0.574585695
10.05,0.574550452
10.06,0.574515293
10.07,0.574480197
10.08,0.574445185
10.09,0.574410346
10.1,0.57437548
10.11,0.574340799
10.12,0.574306079
10.13,0.574271544
10.14,0.574237082
10.15,0.574202783
10.16,0.574168468
10.17,0.574134225
10.18,0.574100156
10.19,0.57406616
10.2,0.574032237
10.21,0.573998386
10.22,0.573964609
10.23,0.573930895
10.24,0.573897363
10.25,0.573863795
10.26,0.573830399
10.27,0.573797076
10.28,0.573763826
10.29,0.573730648
10.3,0.573697533
10.31,0.573664591
10.32,0.573631621
10.33,0.573598824
10.34,0.573566089
10.35,0.573533427
10.36,0.573500827
10.37,0.5734683
10.38,0.573435845
10.39,0.573403552
10.4,0.573371232
10.41,0.573339073
10.42,0.573306988
10.43,0.573274964
10.44,0.573243012
10.45,0.573211123
10.46,0.573179305
10.47,0.57314765
10.48,0.573116066
10.49,0.573084445
10.5,0.573052985
10.51,0.573021588
10.52,0.572990262
10.53,0.572958998
10.54,0.572927906
10.55,0.572896765
10.56,0.572865796
10.57,0.572834889
10.58,0.572803954
10.59,0.57277327
10.6,0.572742558
10.61,0.572711907
10.62,0.572681318
10.63,0.57265079
10.64,0.572620424
10.65,0.572590119
10.66,0.572559786
10.67,0.572529604
10.68,0.572499483
10.69,0.572469434
10.7,0.572439536
10.71,0.572409609
10.72,0.572379832
10.73,0.572350018
10.74,0.572320364
10.75,0.572290772
10.76,0.572261241
10.77,0.57223177
10.78,0.572202361
10.79,0.572173003
10.8,0.572143805
10.81,0.572114578
10.82,0.572085492
10.83,0.572056478
10.84,0.572027424
10.85,0.57199852
10.86,0.571969778
10.87,0.571940986
10.88,0.571912255
10.89,0.571883584
10.9,0.571855075
10.91,0.571826515
10.92,0.571798116
10.93,0.571769768
10.94,0.57174148
10.95,0.571713253
10.96,0.571685076
10.97,0.57165696
10.98,0.571628994
10.99,0.571600988
11,0.571573133
11.01,0.571545238
11.02,0.571517493
11.03,0.571489799
11.04,0.571462174
11.05,0.57143459
11.06,0.571407166
11.07,0.571379693
11.08,0.571352279
